"NOMS";"PRENOMS";"PHOTOS";"NATIONALITE";"Temps_L1";"Temps_L2";"Temps_N1";"Temps_N2";"Temps_N3";"Temps_Coupe_France";"Temps_Etranger_Jeunes";"Temps_Jeune";"Cartons_jaunes";"Dont_Second_jaunes";"Cartons_rouges";"Agent";"Valeur_Marchande";"URL_Profil";"Date_Naissance";"Position_Principale";"Position_Secondaire";"Position_Complete";"Forme_A";"Pied_Fort";"Taille";"Club_actuel";"Photo_Club";"Pays_Club_actuel";"Club_En_Cours";"Titu_En_Cours";"Apparition_Groupe_En_Cours";"Pourcentage_titu_En_Cours";"Temps_de_jeu_En_Cours";"Buts_En_Cours";"Passes_En_Cours";"Division_En_Cours";"Groupes_En_Cours";"Pays_En_Cours";"Club_N_1";"Titu_N_1";"Apparition_Groupe_N_1";"Pourcentage_titu_N_1";"Temps_de_jeu_N_1";"Buts_N_1";"Passes_N_1";"Division_N_1";"Groupes_N_1";"Pays_N_1";"Club_N_2";"Titu_N_2";"Apparition_Groupe_N_2";"Pourcentage_titu_N_2";"Temps_de_jeu_N_2";"Buts_N_2";"Passes_N_2";"Division_N_2";"Groupes_N_2";"Pays_N_2";"Club_N_3";"Titu_N_3";"Apparition_Groupe_N_3";"Pourcentage_titu_N_3";"Temps_de_jeu_N_3";"Buts_N_3";"Passes_N_3";"Division_N_3";"Groupes_N_3";"Pays_N_3";"Fin_contrat"
"Agbadouma";"Mathys";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/mathys-agbadouma/profil/spieler/1369082";"";"";"";"";"";"";"";"FC Lorient U19";"https://tmssl.akamaized.net//images/wappen/normquad/11605.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Pain";"Ilan";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/ilan-pain/profil/spieler/1289515";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Fofana";"Bahliseny";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/bahliseny-fofana/profil/spieler/1169939";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Meïté";"Bamo";"https://img.a.transfermarkt.technology/portrait/header/807165-1724754649.jpg?lm=1";"Côte d'Ivoire";4711;0;469;2029;1170;707;393;0;27;2;1;"CAA Base Ltd";"";"https://www.transfermarkt.fr/bamo-meite/profil/spieler/807165";"3 déc. 2001 (24)";"Défenseur central";"Arrière droit";"Défenseur central / Arrière droit";"Stade Lavallois";"";"1,84 m";"Marseille";"https://tmssl.akamaized.net//images/wappen/normquad/244.png?lm=1775675175";"France";"";0;0;0;0;0;0;"";"";"";"FC Lorient";26;33;0,79;2295;0;3;"L1";"";"France";"Montpellier Hérault SC";6;28;0,21;452;0;0;"L1";"";"France";"Olympique de Marseille";14;42;0,33;1349;0;0;"L1";"";"France";""
"Faye";"Abdoulaye";"https://img.a.transfermarkt.technology/portrait/header/1182738-1695367426.jpg?lm=1";"Sénégal";1446;0;0;62;0;47;2771;0;20;1;0;"BMG";"";"https://www.transfermarkt.fr/abdoulaye-faye/profil/spieler/1182738";"22 sept. 2004 (21)";"Défenseur central";"";"Défenseur central / ";"";"";"1,91 m";"Leverkusen";"https://tmssl.akamaized.net//images/wappen/normquad/15.png?lm=1710156317";"France";"";0;0;0;0;0;0;"";"";"";"FC Lorient";17;20;0,85;1555;0;0;"L1";"";"France";"BK Häcken";12;12;1;985;2;0;"L1";"";"Étranger";"Örgryte IS";20;33;0,61;1786;0;0;"L2";"";"Étranger";""
"Touré";"Isaak";"https://img.a.transfermarkt.technology/portrait/header/708678-1645641626.jpg?lm=1";"France";3735;1046;0;286;316;65;2269;388;24;1;4;"ND SPORTS MANAGEMENT";"";"https://www.transfermarkt.fr/isaak-toure/profil/spieler/708678";"28 mars 2003 (23)";"Défenseur central";"";"Défenseur central / ";"Le Havre AC";"";"2,06 m";"FC Lorient";"https://tmssl.akamaized.net//images/wappen/normquad/1158.png?lm=1406642498";"France";"";0;0;0;0;0;0;"";"";"";"FC Lorient";5;7;0,71;314;0;0;"N2";"A";"France";"Udinese Calcio";13;19;0,68;911;1;0;"L1";"";"Italie";"FC Lorient";24;33;0,73;2123;1;1;"L1";"";"France";""
"Leaudais";"Lucas";"https://img.a.transfermarkt.technology/portrait/header/1180573-1741356873.png?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/lucas-leaudais/profil/spieler/1180573";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Akakpo";"Izak";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/izak-akakpo/profil/spieler/1079441";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Amougui Montreuil";"Maceo";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/maceo-amougui-montreuil/profil/spieler/1344027";"";"";"";"";"";"";"";"FC Lorient U19";"https://tmssl.akamaized.net//images/wappen/normquad/11605.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Pengam";"Imran";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/imran-pengam/profil/spieler/1449145";"";"";"";"";"";"";"";"FC Lorient U19";"https://tmssl.akamaized.net//images/wappen/normquad/11605.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Marchal";"Noam";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/noam-marchal/profil/spieler/1178884";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Siba";"Stevan";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/stevan-siba/profil/spieler/1047105";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Solanke";"Ade";"https://img.a.transfermarkt.technology/portrait/header/1109579-1762419329.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/ade-solanke/profil/spieler/1109579";"";"";"";"";"";"";"";"Bournemouth U21";"https://tmssl.akamaized.net//images/wappen/normquad/38967.png?lm=1457991811";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Borval";"Cyril";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/cyril-borval/profil/spieler/1080516";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Monnier";"Isaac";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/isaac-monnier/profil/spieler/1169128";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Le Gal";"Noah";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/noah-le-gal/profil/spieler/1176375";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Airhiavbere";"Erin";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;290;547;0;0;0;0;2;0;0;NA;"";"https://www.transfermarkt.fr/erin-airhiavbere/profil/spieler/1462604";"10 janv. 2004 (22)";"Arrière droit";"Défenseur central";"Arrière droit / Défenseur central";"ANB Futbol";"";"";"Valenciennes FC";"https://tmssl.akamaized.net//images/wappen/normquad/1423.png?lm=1408780358";"France";"";0;0;0;0;0;0;"";"";"";"Valenciennes FC";12;13;0,92;837;0;0;"N2";"A";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Michel";"Raphaël";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/raphael-michel/profil/spieler/1354964";"";"";"";"";"";"";"";"FC Lorient U19";"https://tmssl.akamaized.net//images/wappen/normquad/11605.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Mabon";"Victor";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/victor-mabon/profil/spieler/1452499";"";"";"";"";"";"";"";"Montagnarde";"https://tmssl.akamaized.net//images/wappen/normquad/30422.png?lm=1604183513";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Brault";"Matis";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/matis-brault/profil/spieler/965580";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Semenyo";"Jai";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/jai-semenyo/profil/spieler/944651";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Semedo";"Daniel";"https://img.a.transfermarkt.technology/portrait/header/1144121-1726095535.jpeg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/daniel-semedo/profil/spieler/1144121";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Neveu";"Tom";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/tom-neveu/profil/spieler/1313486";"";"";"";"";"";"";"";"FC Lorient U19";"https://tmssl.akamaized.net//images/wappen/normquad/11605.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Diop";"Samba";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/samba-diop/profil/spieler/1273019";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Belarbi";"Sohaib";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/sohaib-belarbi/profil/spieler/1159984";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Katseris";"Panos";"https://img.a.transfermarkt.technology/portrait/header/816308-1606484515.jpg?lm=1";"Grèce";1795;1204;0;45;0;271;5247;0;23;0;0;NA;"";"https://www.transfermarkt.fr/panos-katseris/profil/spieler/816308";"5 juil. 2001 (25)";"Milieu droit";"Arrière droit";"Milieu droit / Arrière droit";"AC Pavia 1911";"";"1,87 m";"FC Lorient";"https://tmssl.akamaized.net//images/wappen/normquad/1158.png?lm=1406642498";"France";"";0;0;0;0;0;0;"";"";"";"FC Lorient";9;19;0,47;822;1;2;"L1";"";"France";"FC Lorient";17;26;0,65;1444;4;0;"L2";"";"France";"FC Lorient";25;38;0,66;2050;1;3;"L2";"";"Italie";""
"Mouledous";"Antton";"https://img.a.transfermarkt.technology/portrait/header/default.jpg?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/antton-mouledous/profil/spieler/1299898";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Macon";"Baptiste";"https://img.a.transfermarkt.technology/portrait/header/990768-1704368736.png?lm=1";"";0;0;0;0;0;0;0;0;0;0;0;"";"";"https://www.transfermarkt.fr/baptiste-macon/profil/spieler/990768";"";"";"";"";"";"";"";"Lorient B";"https://tmssl.akamaized.net//images/wappen/normquad/16662.png?lm=1652787955";"France";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";"";0;0;0;0;0;0;"";"";"";""
"Makengo";"Jean-Victor";"https://img.a.transfermarkt.technology/portrait/header/322305-1663664657.jpg?lm=1";"France";6919;694;0;759;1567;892;6402;0;32;2;0;NA;"";"https://www.transfermarkt.fr/jean-victor-makengo/profil/spieler/322305";"12 juin 1998 (28)";"Milieu offensif";"Milieu central";"Milieu offensif / Milieu central";"SM Caen";"";"1,77 m";"FC Lorient";"https://tmssl.akamaized.net//images/wappen/normquad/1158.png?lm=1406642498";"France";"";0;0;0;0;0;0;"";"";"";"FC Lorient";27;39;0,69;2121;4;3;"L1";"";"France";"FC Lorient";12;22;0,55;991;1;2;"L2";"";"France";"FC Lorient";6;25;0,24;568;0;0;"L1";"";"France";""
